,tcel,grado,cluster,path,DivEN,cler,per,DivER,clsw,psw,DivSW,beta,clsf,psf,DivSF,DivENSWsw,DivENSF,entropia,entrn,entsw1,entsf,betweeness,betr2,betsw1,betsf
0,10,2.80322209436,0.0393901880088,5.5843296946,0.0311325718702,0.000391381296844,8.15689125615,3.72450955403e-05,0.0,79.657144492,0.0115229361425,0.6,0.0,8.025067021,0.0201338659929,0.0240851475072,0.0438906525056,0.0770640557862,0.223979881663,0.150305500898,0.143345615162,0.00105556750969,0.00140287442725,0.018111246717,0.00161756090744
1,10,2.80322209436,0.0393901880088,5.5843296946,0.0317682258766,0.000112925849321,7.84629846741,8.12664779677e-05,0.0,77.3605009462,0.0118300525588,0.6,0.0,8.41937495099,0.0198864304357,0.0248625397985,0.0438403899442,0.0770640557862,0.227765514896,0.149980328021,0.143583930273,0.00105556750969,0.00133998498011,0.0175824317168,0.00170835251001
2,10,2.80322209436,0.0393901880088,5.5843296946,0.031915893729,0.00155695961543,7.97669373261,5.94134764885e-05,0.0,97.3307404417,0.0116469645655,0.6,0.0,8.92506596138,0.0197465575522,0.024548234888,0.0447282839847,0.0770640557862,0.226359343708,0.149656055006,0.144733072878,0.00105556750969,0.00136278048638,0.0221806908685,0.00182479068878
3,10,2.80322209436,0.0393901880088,5.5843296946,0.0299965439921,0.000191714595315,8.09720201436,6.49559997647e-05,0.0,86.0255400356,0.0115104965859,0.6,0.0,8.86288784764,0.0193890343707,0.0244619387655,0.0433668717163,0.0770640557862,0.225476110269,0.148937574815,0.144633141281,0.00105556750969,0.00138424203691,0.0195776053501,0.00181047383091
4,10,2.80322209436,0.0393901880088,5.5843296946,0.0318222712386,0.000761857660967,7.95415945255,4.55986486662e-05,0.0,76.2696679361,0.0115430305203,0.6,0.0,8.71647710054,0.0196865117903,0.0242857378974,0.0441956504513,0.0770640557862,0.226997073935,0.149596885956,0.143839865545,0.00105556750969,0.00138704374896,0.0173312613254,0.00177676193888
5,10,2.80322209436,0.0393901880088,5.5843296946,0.0310780375263,0.000527121843502,8.11667875935,5.16563641817e-05,0.0,96.7650595401,0.0116767430959,0.6,0.0,8.21208285386,0.0198026459454,0.0241924935992,0.0434999254107,0.0770640557862,0.225042165469,0.149380158706,0.145045715528,0.00105556750969,0.00139638463527,0.0220504396823,0.00166062234719
6,10,2.80322209436,0.0393901880088,5.5843296946,0.0323584077094,0.000487672076039,7.97890016542,3.99552763112e-05,0.0,82.9773455232,0.0120639225466,0.6,0.0,8.57186834426,0.0198359209932,0.0243583986948,0.0443912287089,0.0770640557862,0.226599295718,0.149780974219,0.14434669979,0.00105556750969,0.00137755730206,0.0188757415435,0.00174346496529
7,10,2.80322209436,0.0393901880088,5.5843296946,0.0307335591942,0.00121593142478,8.11395098656,3.62844015591e-05,0.0,83.8543445505,0.0120164312682,0.6,0.0,8.6495567607,0.020464397652,0.0249269878686,0.0448723138025,0.0770640557862,0.224413017388,0.148736276623,0.145260700597,0.00105556750969,0.00140351673838,0.0190776754664,0.00176135315696
8,10,2.80322209436,0.0393901880088,5.5843296946,0.0313412746304,0.000384997516145,7.96452820641,4.40715894994e-05,0.0,87.3608902509,0.0121482628304,0.6,0.0,7.834700032,0.0207875763241,0.024376348188,0.044192125372,0.0770640557862,0.226480983245,0.148986094908,0.141656678389,0.00105556750969,0.00137677177258,0.0198850771934,0.00157372784527
9,10,2.80322209436,0.0393901880088,5.5843296946,0.0310643722442,0.000541986178169,7.9376230808,9.00910954698e-05,0.0,102.273553353,0.0118973392469,0.6,0.0,7.6971324547,0.0210719226618,0.02455189875,0.0432197092582,0.0770640557862,0.226973180806,0.150735862803,0.144033113197,0.00105556750969,0.00137009106346,0.0233188011404,0.00154205214246
10,10,2.80322209436,0.0393901880088,5.5843296946,0.0314467905366,0.000872182956141,8.05248600394,9.9597910527e-05,0.0,104.808643325,0.0123627181924,0.6,0.0,9.22740645139,0.020012527297,0.0238462916511,0.0430355927779,0.0770640557862,0.22593730925,0.149096598532,0.144713675915,0.00105556750969,0.00137758533578,0.0239025197618,0.00189440627479
11,10,2.80322209436,0.0393901880088,5.5843296946,0.031466782467,0.00101234567901,8.02575767832,8.86963127149e-05,0.0,82.4973568823,0.011719769063,0.6,0.0,8.59123418251,0.020571605507,0.0238988013867,0.0432543643443,0.0770640557862,0.224811061163,0.150050615397,0.143665157775,0.00105556750969,0.00140548624689,0.0187652214788,0.00174792405768
12,10,2.80322209436,0.0393901880088,5.5843296946,0.0323324318638,0.000615935106908,8.29913807135,0.000223458253239,0.0,70.8777907758,0.0126501937233,0.6,0.0,7.9531859613,0.0209224711611,0.0247541017632,0.044361860407,0.0770640557862,0.2237066966,0.150117610534,0.142927779716,0.00105556750969,0.00141580545849,0.0160897515026,0.00160100989208
