,tamcel,nodos,grado,smallworldness,beta,mean-sw,stdev-sw,sw-min,sw-max,swdiff,absswdiff
0,10,4345,2.80322209436,88.8515234581,0.1,0.0,0.0,0.0,0.0,88.8515234581,88.8515234581
1,10,4345,2.80322209436,88.8515234581,0.2,0.0,0.0,0.0,0.0,88.8515234581,88.8515234581
2,10,4345,2.80322209436,88.8515234581,0.3,0.0,0.0,0.0,0.0,88.8515234581,88.8515234581
3,10,4345,2.80322209436,88.8515234581,0.4,0.0,0.0,0.0,0.0,88.8515234581,88.8515234581
4,10,4345,2.80322209436,88.8515234581,0.5,0.0,0.0,0.0,0.0,88.8515234581,88.8515234581
5,10,4345,2.80322209436,88.8515234581,0.6,0.00552560954145,0.0247112771036,0.0,0.110512190829,88.8459978486,88.8459978486
6,10,4345,2.80322209436,88.8515234581,0.7,0.0,0.0,0.0,0.0,88.8515234581,88.8515234581
7,10,4345,2.80322209436,88.8515234581,0.8,0.0,0.0,0.0,0.0,88.8515234581,88.8515234581
8,10,4345,2.80322209436,88.8515234581,0.9,0.00285152697369,0.0127524163057,0.0,0.0570305394739,88.8486719311,88.8486719311
9,10,4345,2.80322209436,88.8515234581,1.0,0.0,0.0,0.0,0.0,88.8515234581,88.8515234581
10,12,4070,2.96265356265,92.7115430584,0.1,0.0,0.0,0.0,0.0,92.7115430584,92.7115430584
11,12,4070,2.96265356265,92.7115430584,0.2,0.0,0.0,0.0,0.0,92.7115430584,92.7115430584
12,12,4070,2.96265356265,92.7115430584,0.3,0.00550778522817,0.0246315643513,0.0,0.110155704563,92.7060352732,92.7060352732
13,12,4070,2.96265356265,92.7115430584,0.4,0.0,0.0,0.0,0.0,92.7115430584,92.7115430584
14,12,4070,2.96265356265,92.7115430584,0.5,0.0,0.0,0.0,0.0,92.7115430584,92.7115430584
15,12,4070,2.96265356265,92.7115430584,0.6,0.0,0.0,0.0,0.0,92.7115430584,92.7115430584
16,12,4070,2.96265356265,92.7115430584,0.7,0.00134376982,0.00600952132725,0.0,0.0268753963999,92.7101992886,92.7101992886
17,12,4070,2.96265356265,92.7115430584,0.8,0.0,0.0,0.0,0.0,92.7115430584,92.7115430584
18,12,4070,2.96265356265,92.7115430584,0.9,0.0,0.0,0.0,0.0,92.7115430584,92.7115430584
19,12,4070,2.96265356265,92.7115430584,1.0,0.0,0.0,0.0,0.0,92.7115430584,92.7115430584
20,14,3777,3.14058776807,114.451480083,0.1,0.0,0.0,0.0,0.0,114.451480083,114.451480083
21,14,3777,3.14058776807,114.451480083,0.2,0.0,0.0,0.0,0.0,114.451480083,114.451480083
22,14,3777,3.14058776807,114.451480083,0.3,0.0,0.0,0.0,0.0,114.451480083,114.451480083
23,14,3777,3.14058776807,114.451480083,0.4,0.0,0.0,0.0,0.0,114.451480083,114.451480083
24,14,3777,3.14058776807,114.451480083,0.5,0.0,0.0,0.0,0.0,114.451480083,114.451480083
25,14,3777,3.14058776807,114.451480083,0.6,0.00631100277485,0.0282236624215,0.0,0.126220055497,114.44516908,114.44516908
26,14,3777,3.14058776807,114.451480083,0.7,0.0,0.0,0.0,0.0,114.451480083,114.451480083
27,14,3777,3.14058776807,114.451480083,0.8,0.0,0.0,0.0,0.0,114.451480083,114.451480083
28,14,3777,3.14058776807,114.451480083,0.9,0.0,0.0,0.0,0.0,114.451480083,114.451480083
29,14,3777,3.14058776807,114.451480083,1.0,0.0,0.0,0.0,0.0,114.451480083,114.451480083
30,16,3543,3.28873835732,107.661516433,0.1,0.0,0.0,0.0,0.0,107.661516433,107.661516433
31,16,3543,3.28873835732,107.661516433,0.2,0.0,0.0,0.0,0.0,107.661516433,107.661516433
32,16,3543,3.28873835732,107.661516433,0.3,0.0,0.0,0.0,0.0,107.661516433,107.661516433
33,16,3543,3.28873835732,107.661516433,0.4,0.0,0.0,0.0,0.0,107.661516433,107.661516433
34,16,3543,3.28873835732,107.661516433,0.5,0.0,0.0,0.0,0.0,107.661516433,107.661516433
35,16,3543,3.28873835732,107.661516433,0.6,0.0,0.0,0.0,0.0,107.661516433,107.661516433
36,16,3543,3.28873835732,107.661516433,0.7,0.0,0.0,0.0,0.0,107.661516433,107.661516433
37,16,3543,3.28873835732,107.661516433,0.8,0.00625804656038,0.0279868350307,0.0,0.125160931208,107.655258387,107.655258387
38,16,3543,3.28873835732,107.661516433,0.9,0.0,0.0,0.0,0.0,107.661516433,107.661516433
39,16,3543,3.28873835732,107.661516433,1.0,0.0,0.0,0.0,0.0,107.661516433,107.661516433
40,18,3267,3.53045607591,117.44496814,0.1,166.509813376,1.42113790623,163.640654806,168.690418337,-49.0648452359,49.0648452359
41,18,3267,3.53045607591,117.44496814,0.2,153.463935853,2.4482762769,149.378936345,158.145879985,-36.0189677132,36.0189677132
42,18,3267,3.53045607591,117.44496814,0.3,117.342094543,4.03410562762,108.642576142,125.053282905,0.102873597016,0.102873597016
43,18,3267,3.53045607591,117.44496814,0.4,78.8657390286,2.18965240895,74.1406418465,84.2743899573,38.5792291115,38.5792291115
44,18,3267,3.53045607591,117.44496814,0.5,48.4091401732,2.91032600734,41.2263671244,51.7210831718,69.0358279669,69.0358279669
45,18,3267,3.53045607591,117.44496814,0.6,25.8540612423,2.1382959668,22.9698158826,29.2233765756,91.5909068977,91.5909068977
46,18,3267,3.53045607591,117.44496814,0.7,11.5358515984,1.25155687531,8.59769552376,13.4068297821,105.909116542,105.909116542
47,18,3267,3.53045607591,117.44496814,0.8,4.16270416733,0.81360976883,2.86241082467,5.52110006147,113.282263973,113.282263973
