,tcel,DivENKL,DivERKL,DivSWKL,DivSFKL,DivENSWKL,DivENSFKL
0,10,inf,0.00346176031209,0.344000305178,inf,inf,inf
1,10,inf,0.00271192070156,0.368614060096,inf,inf,inf
2,10,inf,0.00257682400022,0.330734278974,inf,inf,inf
3,10,inf,0.00351967864056,0.355122649332,inf,inf,inf
4,10,inf,inf,0.347459835236,inf,inf,inf
5,10,inf,0.00211481988382,0.347734009387,inf,inf,inf
6,10,inf,0.00150609196716,0.329942066845,inf,inf,inf
7,10,inf,0.00333957615789,0.354255300443,inf,inf,inf
8,10,inf,0.00360278984989,0.348111834736,inf,inf,inf
9,10,inf,inf,0.35243368262,inf,inf,inf
10,10,inf,0.00259073045841,0.321184263606,inf,inf,inf
11,10,inf,inf,0.348961164624,inf,inf,inf
12,10,inf,inf,0.329002079101,inf,inf,inf
13,10,inf,0.00189598871562,0.334775660611,inf,inf,inf
14,10,inf,0.00403633714067,0.326474497212,inf,inf,inf
15,10,inf,inf,0.343070587873,inf,inf,inf
16,10,inf,0.0049362731345,0.347361528804,inf,inf,inf
17,10,inf,inf,0.337398061191,inf,inf,inf
18,10,inf,0.00233179853678,0.331976633284,inf,inf,inf
19,10,inf,inf,0.334271955136,inf,inf,inf
20,10,inf,inf,0.349648862765,inf,inf,inf
21,10,inf,inf,0.34616855832,inf,inf,inf
22,10,inf,inf,0.336528001216,inf,inf,inf
23,10,inf,inf,0.327440158169,inf,inf,inf
24,10,inf,0.0017978323979,0.351543230664,inf,inf,inf
25,10,inf,inf,0.333833930358,inf,inf,inf
26,10,inf,inf,0.345523571337,inf,inf,inf
27,10,inf,0.00190522067196,0.359708884179,inf,inf,inf
28,10,inf,inf,0.332138609854,inf,inf,inf
29,10,inf,0.00152861543474,0.325869892373,inf,inf,inf
30,10,inf,inf,0.340678672874,inf,inf,inf
31,10,inf,0.0029261027582,0.31926024784,inf,inf,inf
32,10,inf,inf,0.372976345067,inf,inf,inf
33,10,inf,inf,0.340737519861,inf,inf,inf
34,10,inf,inf,0.335573866646,inf,inf,inf
35,10,inf,0.00187333114665,0.350261323315,inf,inf,inf
36,10,inf,0.000650445451619,0.338494050384,inf,inf,inf
37,10,inf,inf,0.330695949154,inf,inf,inf
38,10,inf,inf,0.323393333014,inf,inf,inf
39,10,inf,inf,0.366355530371,inf,inf,inf
40,10,inf,inf,0.327259611431,inf,inf,inf
41,10,inf,0.000604680377291,0.344843318706,inf,inf,inf
42,10,inf,inf,0.345804330029,inf,inf,inf
43,10,inf,0.000731183763468,0.335287334303,inf,inf,inf
44,10,inf,0.0048411523618,0.365113406113,inf,inf,inf
45,10,inf,0.00158453127204,0.354917790213,inf,inf,inf
46,10,inf,0.00302265292956,0.337129422806,inf,inf,inf
47,10,inf,0.00315112077801,0.326404666002,inf,inf,inf
48,10,inf,0.00265445422329,0.330212296004,inf,inf,inf
49,10,inf,inf,0.356984378427,inf,inf,inf
50,10,inf,0.00236282284658,0.350837215937,inf,inf,inf
51,10,inf,inf,0.351392410252,inf,inf,inf
52,10,inf,inf,0.345079199196,inf,inf,inf
53,10,inf,0.00181459251266,0.347741766868,inf,inf,inf
54,10,inf,0.00256485119654,0.329131971013,inf,inf,inf
55,10,inf,inf,0.344903210947,inf,inf,inf
56,10,inf,inf,0.34152394914,inf,inf,inf
57,10,inf,inf,0.317347786056,inf,inf,inf
58,10,inf,0.000743425865774,0.349320719883,inf,inf,inf
59,10,inf,0.00260147133441,0.338337546476,inf,inf,inf
60,10,inf,inf,0.354961928702,inf,inf,inf
61,10,inf,inf,0.322245637508,inf,inf,inf
62,10,inf,inf,0.337933658949,inf,inf,inf
63,10,inf,inf,0.342152314569,inf,inf,inf
64,10,inf,0.00330735831215,0.370210251059,inf,inf,inf
65,10,inf,inf,0.34500930777,inf,inf,inf
66,10,inf,0.00245844469029,0.332633912242,inf,inf,inf
67,10,inf,0.00121182097308,0.349580442201,inf,inf,inf
68,10,inf,0.00239715681142,0.349882564581,inf,inf,inf
69,10,inf,inf,0.319961011138,inf,inf,inf
70,10,inf,0.00234651173657,0.325192651981,inf,inf,inf
71,10,inf,inf,0.332709776533,inf,inf,inf
72,10,inf,0.0016635148618,0.343680373392,inf,inf,inf
73,10,inf,inf,0.339877247731,inf,inf,inf
74,10,inf,0.0045530980018,0.326654438028,inf,inf,inf
75,10,inf,0.00265121855936,0.332300410548,inf,inf,inf
76,10,inf,inf,0.346634599516,inf,inf,inf
77,10,inf,0.00226483474648,0.321403092536,inf,inf,inf
78,10,inf,0.00147868098102,0.325027333334,inf,inf,inf
79,10,inf,inf,0.340417641054,inf,inf,inf
80,10,inf,0.000758138520217,0.311197648056,inf,inf,inf
81,10,inf,inf,0.327901988536,inf,inf,inf
82,10,inf,0.00288321417316,0.348297305875,inf,inf,inf
83,10,inf,inf,0.346015494338,inf,inf,inf
84,10,inf,inf,0.358394475273,inf,inf,inf
85,10,inf,0.00543824322336,0.324631443475,inf,inf,inf
86,10,inf,0.00368590730578,0.353973070197,inf,inf,inf
87,10,inf,0.000864155230042,0.33904148695,inf,inf,inf
88,10,inf,inf,0.332690253819,inf,inf,inf
89,10,inf,0.00358492488974,0.347200871078,inf,inf,inf
90,10,inf,0.00262412860397,0.338177588678,inf,inf,inf
91,10,inf,0.00132015826827,0.326171679444,inf,inf,inf
92,10,inf,inf,0.339746104776,inf,inf,inf
93,10,inf,0.00133210405349,0.340610032218,inf,inf,inf
94,10,inf,0.00272576514877,0.344155882653,inf,inf,inf
95,10,inf,inf,0.345403493216,inf,inf,inf
96,10,inf,inf,0.346429721919,inf,inf,inf
97,10,inf,0.00261865818609,0.341053651842,inf,inf,inf
98,10,inf,0.00234751908307,0.365133039998,inf,inf,inf
99,10,inf,0.00218570106461,0.355004566971,inf,inf,inf
100,12,inf,0.00318617142035,0.531467572139,inf,inf,inf
101,12,inf,0.00203518633782,0.522470300368,inf,inf,inf
102,12,inf,inf,0.561952431122,inf,inf,inf
103,12,inf,0.00321867357057,0.55963173378,inf,inf,inf
104,12,inf,0.00419009491808,0.55178100995,inf,inf,inf
105,12,inf,inf,0.504726474013,inf,inf,inf
106,12,inf,0.00207701287935,0.541996655967,inf,inf,inf
107,12,inf,0.00197007734975,0.525785099729,inf,inf,inf
108,12,inf,0.0016743976386,0.554465544271,inf,inf,inf
109,12,inf,0.00520660262552,0.541591734867,inf,inf,inf
110,12,inf,inf,0.516093040702,inf,inf,inf
111,12,inf,0.00117551881479,0.518511490305,inf,inf,inf
112,12,inf,0.00406378879496,0.539975026923,inf,inf,inf
113,12,inf,inf,0.526003946678,inf,inf,inf
114,12,inf,inf,0.491589802995,inf,inf,inf
115,12,inf,inf,0.54759594643,inf,inf,inf
116,12,inf,0.0030814459525,0.523659400383,inf,inf,inf
117,12,inf,0.00101233899019,0.523362205659,inf,inf,inf
118,12,inf,inf,0.535505313604,inf,inf,inf
119,12,inf,0.00288625274444,0.545480436163,inf,inf,inf
120,12,inf,inf,0.488318307057,inf,inf,inf
121,12,inf,0.00333192677771,0.517242979734,inf,inf,inf
122,12,inf,0.00321995092112,0.525945934681,inf,inf,inf
123,12,inf,inf,0.519072676626,inf,inf,inf
124,12,inf,0.006392904389,0.527978218985,inf,inf,inf
125,12,inf,inf,0.52780470899,inf,inf,inf
126,12,inf,inf,0.548812976741,inf,inf,inf
